,Missed States
0,Alabama
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Georgia
6,Idaho
7,Kansas
8,Louisiana
9,Michigan
10,Minnesota
11,Missouri
12,Oklahoma
13,Oregon
14,Rhode Island
15,Utah
